Sample	0	0.5	1	10
SRR598044	23365	11729	 9641	2678
SRR598124	25379	15350	12566	2469
SRR598148	24951	13905	11241	2613
SRR598509	24138	11967	 8763	 881
SRR598671	25636	16221	13471	2728
SRR600784	26382	18523	15609	4471
SRR601695	24397	12430	10270	2959
SRR602106	25627	13019	10246	1890
SRR602951	26700	17617	14982	4499
SRR603068	25505	16033	13338	3023
SRR603750	25835	18295	15483	4627
SRR603834	27163	17783	15202	4503
SRR607166	27265	17810	14954	4403
SRR607214	22025	12362	 9756	2385
SRR607679	27088	18042	15306	4757
SRR608096	26092	14930	12220	2715
SRR612839	24826	13312	10544	2269
SRR614287	26357	17245	14671	4462
SRR615261	26117	16107	13434	3660
SRR615790	26236	17157	14626	4734
SRR807949	27399	18388	15700	4407
SRR808044	26001	16703	14043	4032
SRR808836	26182	16145	13639	4161
SRR809283	20450	13510	11392	3462
SRR809785	26153	15287	12988	3955
SRR810761	25548	15289	12581	2734
SRR810899	27621	18504	15545	4852
SRR810945	20230	11056	 8703	1835
SRR811029	25269	14925	12084	2045
SRR811819	24550	14312	12023	3614
SRR812080	26911	16698	14102	4388
SRR813208	25154	17157	14424	3714
SRR814003	26426	15367	12987	3979
SRR815044	23223	11826	 9559	2285
SRR815280	26128	16626	13827	3363
SRR815494	20964	10947	 8911	2741
SRR816609	26219	18603	15842	4537
SRR817306	26238	16402	13809	4292
SRR818850	27758	20768	17506	5464
SRR819771	26454	16984	14137	3427
SRR820234	26813	17663	15034	4515
SRR820316	24942	13825	11526	2974
SRR820689	24990	15703	13079	3723
SRR820839	27605	21164	17930	5268
SRR821282	25361	16545	13814	3316
SRR821518	27861	21155	17885	5299
SRR821525	25936	17335	14795	4776
SRR821573	27464	18778	15935	4529
